S.No,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close
                                        168,OHL,                                        764.90,                                        14.90,                                        1.99,                                        764.90,                                        764.90,                                        764.90,                                        10.00,                                        750.00
                                        169,PCBL,                                        194.30,                                        0.70,                                        0.36,                                        193.00,                                        196.00,                                        193.00,"                                        2,795.00",                                        193.60
                                        170,PFL,                                        370.10,                                        3.20,                                        0.87,                                        370.00,                                        370.10,                                        370.00,"                                        1,210.00",                                        366.90
                                        171,PHCL,                                        319.40,                                        3.30,                                        1.04,                                        316.00,                                        323.10,                                        316.00,"                                        1,919.00",                                        316.10
                                        172,PMHPL,                                        249.00,                                        0.00,                                        0.00,                                        244.10,                                        258.00,                                        244.10,"                                        1,750.00",                                        249.00
                                        173,PMLI,                                        502.00,                                        0.50,                                        0.10,                                        511.50,                                        511.50,                                        502.00,"                                        1,508.00",                                        501.50
                                        174,PPCL,                                        271.00,                                        0.00,                                        0.00,                                        268.00,                                        276.40,                                        268.00,"                                        2,227.00",                                        271.00
                                        175,PPL,                                        325.00,                                        -3.00,                                        -0.91,                                        322.10,                                        333.00,                                        322.10,"                                        5,650.00",                                        328.00
                                        176,PRIN,                                        769.90,                                        2.70,                                        0.35,                                        769.90,                                        769.90,                                        769.90,                                        20.00,                                        767.20
                                        177,PROFL,                                        314.40,                                        -1.20,                                        -0.38,                                        320.80,                                        320.80,                                        314.40,"                                        1,816.00",                                        315.60
                                        178,PRSF,                                        8.45,                                        -0.16,                                        -1.86,                                        8.45,                                        8.45,                                        8.45,                                        500.00,                                        8.61
                                        179,PRVU,                                        148.00,                                        -0.10,                                        -0.07,                                        148.00,                                        149.50,                                        147.00,"                                        8,799.00",                                        148.10
                                        180,PSF,                                        8.36,                                        -0.10,                                        -1.18,                                        8.36,                                        8.36,                                        8.36,                                        100.00,                                        8.46
                                        181,RADHI,                                        244.30,                                        -0.70,                                        -0.29,                                        249.00,                                        251.00,                                        244.10,"                                        7,697.00",                                        245.00
                                        182,RAWA,                                        456.00,                                        -4.10,                                        -0.89,                                        452.60,                                        488.50,                                        452.60,"                                        1,208.00",                                        460.10
                                        183,RBCLPO,"                                        10,500.00",                                        -124.00,                                        -1.17,"                                        10,500.00","                                        10,500.00","                                        10,500.00",                                        20.00,"                                        10,624.00"
                                        184,RFPL,                                        315.00,                                        -3.00,                                        -0.94,                                        312.00,                                        318.10,                                        312.00,"                                        4,510.00",                                        318.00
                                        185,RHGCL,                                        299.00,                                        6.00,                                        2.05,                                        298.80,                                        299.00,                                        290.00,"                                        7,184.00",                                        293.00
                                        186,RHPL,                                        276.00,                                        -0.10,                                        -0.04,                                        273.00,                                        286.60,                                        273.00,"                                        2,210.00",                                        276.10
                                        187,RIDI,                                        189.20,                                        1.00,                                        0.53,                                        188.00,                                        191.60,                                        185.00,"                                        10,042.00",                                        188.20
                                        188,RLFL,                                        356.10,                                        -5.90,                                        -1.63,                                        369.00,                                        369.00,                                        356.10,"                                        4,220.00",                                        362.00
                                        189,RNLI,                                        428.00,                                        3.80,                                        0.90,                                        420.00,                                        432.00,                                        420.00,"                                        3,498.00",                                        424.20
                                        190,RSDC,                                        524.90,                                        0.00,                                        0.00,                                        535.00,                                        535.00,                                        524.90,                                        587.00,                                        524.90
                                        191,RURU,                                        705.00,                                        -0.40,                                        -0.06,                                        705.00,                                        705.00,                                        705.00,                                        35.00,                                        705.40
                                        192,SABSL,                                        611.80,                                        11.90,                                        1.98,                                        611.80,                                        611.80,                                        611.80,                                        10.00,                                        599.90
                                        193,SADBL,                                        294.10,                                        1.90,                                        0.65,                                        297.00,                                        300.00,                                        294.10,"                                        3,429.00",                                        292.20
