S.No,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close
                                        153,NADEP,                                        516.00,                                        -4.00,                                        -0.77,                                        519.00,                                        530.40,                                        511.50,"                                        4,260.00",                                        520.00
                                        154,NBF2,                                        8.26,                                        -0.25,                                        -2.94,                                        8.40,                                        8.40,                                        8.10,"                                        17,200.00",                                        8.51
                                        155,NBF3,                                        7.52,                                        -0.02,                                        -0.27,                                        7.39,                                        7.52,                                        7.39,"                                        46,285.00",                                        7.54
                                        156,NBL,                                        223.00,                                        -3.00,                                        -1.33,                                        223.10,                                        225.00,                                        222.00,"                                        45,053.00",                                        226.00
                                        157,NBLD85,                                        899.00,                                        0.00,                                        0.00,                                        899.00,                                        899.00,                                        899.00,                                        25.00,                                        899.00
                                        158,NESDO,"                                        1,552.10",                                        -17.90,                                        -1.14,"                                        1,555.00","                                        1,629.00","                                        1,550.00","                                        1,440.00","                                        1,570.00"
                                        159,NFS,                                        354.00,                                        6.00,                                        1.72,                                        353.50,                                        369.90,                                        348.00,"                                        135,101.00",                                        348.00
                                        160,NGPL,                                        309.00,                                        -8.90,                                        -2.80,                                        320.00,                                        320.00,                                        305.00,"                                        201,406.00",                                        317.90
                                        161,NHDL,                                        425.00,                                        -11.00,                                        -2.52,                                        438.10,                                        442.00,                                        422.00,"                                        10,962.00",                                        436.00
                                        162,NHPC,                                        157.20,                                        -2.80,                                        -1.75,                                        156.90,                                        162.00,                                        156.90,"                                        87,006.00",                                        160.00
                                        163,NIBD2082,"                                        1,014.00",                                        -1.00,                                        -0.10,"                                        1,014.00","                                        1,014.00","                                        1,014.00",                                        25.00,"                                        1,015.00"
                                        164,NIBD84,                                        900.00,                                        0.00,                                        0.00,                                        900.00,                                        901.00,                                        900.00,                                        105.00,                                        900.00
                                        165,NIBLGF,                                        7.96,                                        -0.05,                                        -0.62,                                        7.90,                                        8.01,                                        7.90,"                                        187,081.00",                                        8.01
                                        166,NIBSF2,                                        7.30,                                        0.01,                                        0.14,                                        7.16,                                        7.30,                                        7.16,"                                        14,650.00",                                        7.29
                                        167,NICA,                                        427.00,                                        -13.00,                                        -2.95,                                        438.60,                                        440.00,                                        423.40,"                                        149,028.00",                                        440.00
                                        168,NICBF,                                        8.37,                                        -0.14,                                        -1.65,                                        8.37,                                        8.37,                                        8.37,"                                        5,500.00",                                        8.51
                                        169,NICFC,                                        8.61,                                        -0.03,                                        -0.35,                                        8.64,                                        8.65,                                        8.60,"                                        2,400.00",                                        8.64
                                        170,NICGF,                                        9.13,                                        -0.06,                                        -0.65,                                        9.13,                                        9.13,                                        9.13,"                                        10,000.00",                                        9.19
                                        171,NICGF2,                                        7.56,                                        -0.19,                                        -2.45,                                        7.60,                                        8.16,                                        7.45,"                                        3,650.00",                                        7.75
                                        172,NICL,                                        835.90,                                        -14.10,                                        -1.66,                                        860.00,                                        860.00,                                        835.00,"                                        17,416.00",                                        850.00
                                        173,NICLBSL,                                        544.00,                                        -2.00,                                        -0.37,                                        556.00,                                        556.00,                                        537.90,"                                        3,373.00",                                        546.00
                                        174,NICSF,                                        8.80,                                        0.00,                                        0.00,                                        8.63,                                        8.80,                                        8.50,"                                        47,750.00",                                        8.80
                                        175,NIFRA,                                        209.00,                                        -2.00,                                        -0.95,                                        211.00,                                        213.00,                                        208.10,"                                        106,646.00",                                        211.00
                                        176,NIL,                                        810.00,                                        3.90,                                        0.48,                                        805.10,                                        815.00,                                        805.10,"                                        6,255.00",                                        806.10
                                        177,NIMB,                                        166.00,                                        -0.70,                                        -0.42,                                        167.00,                                        168.00,                                        164.50,"                                        77,463.00",                                        166.70
                                        178,NIMBPO,                                        138.50,                                        -5.30,                                        -3.69,                                        141.00,                                        141.00,                                        138.50,"                                        2,283.00",                                        143.80
                                        179,NLBBL,                                        529.90,                                        -14.00,                                        -2.57,                                        543.00,                                        543.00,                                        523.00,"                                        3,349.00",                                        543.90
                                        180,NLG,                                        735.00,                                        -7.30,                                        -0.98,                                        740.80,                                        740.80,                                        732.00,"                                        3,244.00",                                        742.30
                                        181,NLIC,                                        605.00,                                        -6.00,                                        -0.98,                                        615.00,                                        620.00,                                        600.00,"                                        51,774.00",                                        611.00
                                        182,NLICL,                                        555.00,                                        -12.80,                                        -2.25,                                        575.00,                                        575.00,                                        550.30,"                                        14,146.00",                                        567.80
                                        183,NMB,                                        180.10,                                        -2.70,                                        -1.48,                                        182.00,                                        183.80,                                        180.00,"                                        55,479.00",                                        182.80
                                        184,NMB50,                                        9.15,                                        -0.15,                                        -1.61,                                        9.20,                                        9.47,                                        9.15,"                                        9,050.00",                                        9.30
                                        185,NMBMF,                                        516.00,                                        6.00,                                        1.18,                                        507.70,                                        516.00,                                        507.70,"                                        1,653.00",                                        510.00
                                        186,NMFBS,"                                        1,070.00",                                        10.90,                                        1.03,"                                        1,065.00","                                        1,080.00","                                        1,053.00",                                        557.00,"                                        1,059.10"
                                        187,NRIC,                                        753.10,                                        -4.80,                                        -0.63,                                        770.00,                                        770.00,                                        747.00,"                                        47,646.00",                                        757.90
                                        188,NRM,                                        345.00,                                        -13.00,                                        -3.63,                                        358.00,                                        365.10,                                        343.00,"                                        32,983.00",                                        358.00
                                        189,NRN,                                        561.90,                                        -21.50,                                        -3.69,                                        585.00,                                        585.00,                                        560.00,"                                        84,830.00",                                        583.40
                                        190,NSIF2,                                        9.07,                                        0.07,                                        0.78,                                        9.00,                                        9.07,                                        8.90,"                                        1,800.00",                                        9.00
                                        191,NTC,                                        847.00,                                        -8.00,                                        -0.94,                                        872.10,                                        872.10,                                        846.00,"                                        27,725.00",                                        855.00
                                        192,NUBL,                                        613.20,                                        -10.80,                                        -1.73,                                        625.00,                                        628.80,                                        613.20,"                                        3,871.00",                                        624.00
